"Data","PM10"
"08/19/2019","84"
"08/20/2019","86"
"08/28/2019","34"
"08/29/2019","68"
"08/30/2019","80"
"08/31/2019","19"
"09/01/2019","12"
"09/02/2019","7"
"09/03/2019","10"
"09/04/2019","21"
"09/05/2019","19"
"09/06/2019","23"
"09/07/2019","14"
"09/08/2019","4"
"09/09/2019","9"
"09/10/2019","10"
"09/11/2019","15"
"09/12/2019","17"
"09/13/2019","8"
"09/14/2019","16"
"09/15/2019","13"
"09/16/2019","15"
"09/17/2019","9"
"09/18/2019","4"
"09/19/2019","10"
"09/20/2019","4"
"09/21/2019","8"
"09/22/2019","15"
"09/23/2019","15"
"09/24/2019","21"
"09/25/2019","12"
"09/26/2019","15"
"09/27/2019","24"
"09/28/2019","12"
"09/29/2019","4"
"09/30/2019","3"
"10/01/2019","7"
"10/02/2019","25"
"10/03/2019","35"
"10/09/2019","4"
"10/10/2019","1"
"10/11/2019","6"
"10/12/2019","26"
"10/13/2019","17"
"10/14/2019","57"
"10/15/2019","65"
"10/16/2019","13"
"10/17/2019","26"
"10/18/2019","47"
"10/19/2019","9"
"10/20/2019","16"
"10/21/2019","12"
"10/22/2019","30"
"10/23/2019","20"
"10/24/2019","4"
"10/25/2019","27"
"10/26/2019","14"
"10/27/2019","3"
"10/28/2019","8"
"10/29/2019","17"
"10/30/2019","41"
"10/31/2019","27"
"11/01/2019","3"
"11/02/2019","0"
"11/03/2019","3"
"11/04/2019","29"
"11/05/2019","18"
"11/06/2019","3"
"11/07/2019","2"
"11/08/2019","26"
"11/09/2019","48"
"11/10/2019","45"
"11/11/2019","62"
"11/12/2019","67"
"11/13/2019","28"
"11/14/2019","25"
"11/15/2019","5"
"11/16/2019","5"
"11/17/2019","4"
"11/18/2019","3"
"11/19/2019","1"
"11/20/2019","9"
"11/21/2019","2"
"11/22/2019","6"
"11/23/2019","18"
"11/24/2019","33"
"11/25/2019","5"
"11/26/2019","5"
"11/27/2019","2"
"11/28/2019","1"
"11/29/2019","3"
"11/30/2019","4"
"12/01/2019","0"
"12/02/2019","2"
"12/03/2019","2"
"12/04/2019","5"
"12/05/2019","3"
"12/06/2019","2"
"12/07/2019","2"
"12/08/2019","5"
"12/09/2019","4"
"12/10/2019","6"
"12/11/2019","4"
"12/12/2019","8"
"12/13/2019","7"
"12/14/2019","7"
"12/15/2019","6"
"12/16/2019","13"
"12/17/2019","7"
"12/18/2019","19"
"12/19/2019","46"
"12/20/2019","68"
"12/21/2019","17"
"12/22/2019","8"
"12/23/2019","9"
"12/24/2019","10"
"12/25/2019","1"
"12/26/2019","3"
"12/27/2019","4"
"12/28/2019","3"
"12/29/2019","2"
"12/30/2019","3"
"12/31/2019","7"
