"Data","PM10"
"10/26/2022","6"
"10/27/2022","36"
"10/28/2022","34"
"10/29/2022","44"
"10/30/2022","61"
"10/31/2022","36"
"11/01/2022","38"
"11/02/2022","5"
"11/03/2022","4"
"11/04/2022","7"
"11/05/2022","2"
"11/06/2022","6"
"11/07/2022","10"
"11/08/2022","2"
"11/09/2022","1"
"11/10/2022","9"
"11/11/2022","5"
"11/12/2022","4"
"11/13/2022","5"
"11/14/2022","12"
"11/15/2022","8"
"11/16/2022","4"
"11/17/2022","7"
"11/18/2022","12"
"11/19/2022","4"
"11/20/2022","9"
"11/21/2022","7"
"11/22/2022","16"
"11/23/2022","4"
"11/24/2022","6"
"11/25/2022","5"
"11/26/2022","3"
"11/27/2022","5"
"11/28/2022","11"
"11/29/2022","22"
"12/07/2022","4"
"12/08/2022","8"
"12/09/2022","5"
"12/10/2022","6"
"12/11/2022","3"
"12/12/2022","5"
"12/13/2022","6"
"12/14/2022","6"
"12/15/2022","5"
"12/16/2022","5"
"12/22/2022","2"
"12/23/2022","10"
"12/24/2022","12"
"12/25/2022","3"
"12/26/2022","10"
"12/27/2022","7"
"12/28/2022","9"
"12/29/2022","6"
"12/30/2022","4"
"12/31/2022","5"
"01/01/2021","19"
"01/02/2021","15"
"01/03/2021","6"
"01/04/2021","5"
"01/05/2021","5"
"01/06/2021","7"
"01/07/2021","5"
"01/08/2021","6"
"01/09/2021","4"
"01/10/2021","9"
"01/11/2021","5"
"01/12/2021","8"
"01/13/2021","6"
"01/14/2021","6"
"01/15/2021","8"
"01/16/2021","5"
"01/17/2021","5"
"01/18/2021","5"
"01/19/2021","5"
"01/20/2021","4"
"01/21/2021","6"
"01/22/2021","4"
"01/23/2021","5"
"01/24/2021","7"
"01/25/2021","5"
"01/26/2021","12"
"01/27/2021","10"
"01/28/2021","1"
"01/29/2021","5"
"01/30/2021","6"
"01/31/2021","8"
"02/01/2021","11"
"02/02/2021","14"
"02/03/2021","3"
"02/04/2021","2"
"02/05/2021","8"
"02/06/2021","7"
"02/07/2021","7"
"02/08/2021","10"
"02/09/2021","5"
"02/10/2021","3"
"02/11/2021","4"
"02/12/2021","7"
"02/13/2021","8"
"02/14/2021","5"
"02/15/2021","6"
"02/16/2021","3"
"02/17/2021","2"
"02/18/2021","3"
"02/19/2021","9"
"02/20/2021","8"
"02/21/2021","7"
"02/22/2021","4"
"02/23/2021","5"
"02/24/2021","3"
"02/25/2021","11"
"02/26/2021","5"
"02/27/2021","1"
"02/28/2021","7"
"03/01/2021","6"
"03/02/2021","4"
"03/03/2021","11"
"03/04/2021","11"
"03/05/2021","4"
"03/06/2021","7"
"03/07/2021","16"
"03/08/2021","30"
"03/09/2021","10"
"03/10/2021","3"
"03/12/2021","8"
"03/13/2021","10"
"03/14/2021","6"
"03/17/2021","13"
"03/18/2021","7"
"03/19/2021","28"
"03/20/2021","12"
"03/21/2021","17"
"03/22/2021","16"
